model,node,inference_time,power
mobilenetv1.tflite,0,192.233,1152.845590735756 760.5267764400057 1879.5126894471232 2268.6989764606433 460.6498837917908 799.0267159108607 1958.272403526783 250.21976681189966 81.8717295835703 799.1685967871543 2196.273401525486 84.60911021661988 83.73780003843112 889.1924495448251 1505.6121901653382 82.74593250300688 80.61845883743072 748.2928906569578 1536.8094614465335 599.8056760434146 86.59894549404638 952.3978166328968 2062.108651268549 1052.7080904800102 1634.6061946571297 2769.6215033732724 942.5677159023502
mobilenetv1.tflite,1,80.9923,895.093211626442 1254.7988231691074 938.3690466625434 1295.3012328866826 1835.937349259854 1096.4042235618767 1704.9845661827983 1869.5135191932964 1519.3080470664593 1328.4389871596663 1169.4602615369436 371.6949996500297
mobilenetv1.tflite,2,90.1788,1128.5518580052333 1303.52045448764 706.4632481123589 1423.1418374490936 1355.6993516204047 1727.6605634149305 1611.7795925049893 1743.6647657361384 1792.5625749291744 1019.2402725434766 817.0413088998177 1010.6945183436762 332.67629559023175
mobilenetv1.tflite,3,276.947,1223.684028467819 84.28636929559082 81.29236436005509 81.49882255663746 81.09910298390061 730.3714326048517 1351.9844522368073 500.4638927715178 1275.1631045605366 778.3482762980188 81.31974159093248 82.38240553325274 80.25002487987378 559.160033122332 1767.1176359178141 670.223710701608 634.9887972882633 1389.5133025815098 769.4770215127014 603.4295045959631 1022.1527044718601 1243.2283313009368 1083.61384637522 1073.302088117054 1150.2595452969238 620.965363186445 974.3909986131679 891.4533111417884 630.5329458025187 1721.490163627594 774.4973896418119 1229.4556561457039 982.0083045052997 1241.0449213178956 1439.2783596294032 730.2872954022007 1741.4416491859245 565.4970657135211 302.37892401981986
mobilenetv1.tflite,4,245.225,316.5317218176946 778.5975483447181 1050.9589319396887 82.7366588556927 81.02123929952486 85.536739941189 675.9180283199795 1318.9869823122697 561.2806710668334 1367.0586670356636 792.1112148419342 1248.6847663219799 1024.6275275101705 82.13313456057426 80.83612685738947 92.24599822426451 1048.6937175393084 1398.0992722075043 1461.746635680811 872.7542876780145 2025.578177291371 870.7690386486556 81.83205354511583 81.65389495522325 795.1914025128644 994.3410533114511 1630.8610078437177 859.5635975082124 1094.891630646396 1332.9619472406105 781.1115621104426 1532.6484468264048
mobilenetv1.tflite,5,67.4079,1347.773991312879 1628.6288817449931 2121.575980867731 1412.3386651067665 2025.2101906106461 2750.9592672526032 1248.6877002155543 1173.0021793852632 1166.8649860325988 636.1755749526744 283.62750050493946
mobilenetv1.tflite,6,144.922,785.2760543246388 900.5154790858714 1405.635811255338 389.8274102535563 1569.4435386218045 646.933996155575 1881.232368989423 938.3710585035695 82.13855363352029 81.63478314394287 965.464063336803 1689.9638595247156 1448.8697136189785 1620.7778989612639 1228.5803624251469 1172.1659539694194 716.8060878434349 1835.2753326712311 1221.3746476708259 432.4786977355469 307.46195483056545
mobilenetv1.tflite,7,169.157,369.4224263404544 1432.3453787680294 1055.0894943195801 1494.570567032018 707.8119166722913 82.04393491071605 83.28380984511553 926.7265978032871 1465.540956431602 1009.5066593568095 2094.7529773998845 1950.7777822320045 887.4347696825442 1541.046553256329 1565.2548316234313 1217.6631776064946 1800.6396132184504 717.2539189474535 1470.3434357229983 762.1179714797032 1296.9962104439437 863.694628973342
mobilenetv1.tflite,8,146.492,494.4982059766709 1318.840010485815 726.8696696999465 1316.5576339823756 883.7161522621838 83.1139545762936 647.4087426791408 1817.1689840502331 298.2755301489739 81.50697681371716 196.4678430889517 854.1508409346582 1729.9193341423859 1544.3182017672812 1905.0986485729395 2075.0937721635723 1621.4140186423638 1913.7887948158675 587.0522326629808
mobilenetv1.tflite,9,115.996,1762.2457441978029 675.460658999704 1527.5730979375007 1601.0626628927375 1729.9033961722716 376.3551282902847 214.8046180952594 1312.6809554864983 1817.9767785810463 2492.0118691527873 2409.0004225092302 2454.257205888663 2387.8038074782507 1739.1365478482396 997.5028100699178 1532.982333880786
mobilenetv1.tflite,10,80.8975,1427.6145968387543 297.5175027885421 813.7076990867499 1764.6563777532513 1725.3892534625825 1853.3536657966974 1749.3503025071223 1744.0002195431691 1181.9295909565492 1782.7646767084095 2496.3987311235605 627.3769258761238 394.76360860096935
mobilenetv1.tflite,11,194.639,2346.3877979381755 2354.6034697223445 1302.6544499045424 84.22592785435629 1044.4854421501122 849.8334188223433 1309.5205809737392 83.27749719310573 790.284483895988 1890.443056281994 192.0463225739928 901.3979082722904 1369.209922985157 539.5043291887333 1850.3665269493267 973.0027980459146 1796.255532410827 713.7160618177913 1604.779671461322 1860.7280025010748 667.0163228739362 1219.6378395473819 1374.8817782877659 691.1203941189729 1988.128966963185 693.3252289195273 1255.5672399684288
