model,node,inference_time,power
mobilenetv1.tflite,0,9.6659,4012.6875849958 3922.9713435561125 4134.128223023418 4056.805450523809 4143.635973297372 4093.6317178304193 4198.30071343886 3969.5206970722397 4198.269851422448 5039.1864119363345 4303.038735516917 4091.729443344788 4178.445620766132 4212.8655986066315 4003.556678087838 4464.794405403875 4121.530042492192 4129.937658448258 4248.813839772407 4301.815080584961 4297.303595476679 4309.5783972623885 4157.131169492808 4100.859159645169 4474.543421542926 4046.491502600226 3459.568371027031
mobilenetv1.tflite,1,13.245,3821.0324052781757 3899.637512615728 4571.460724725043 4503.163876753592 4043.487190244022 4040.892799503839 4011.5789859404817 4174.458387076736 3995.4911375836555 4022.2951232363143 4040.8215110841343 4052.1713739212446 4361.417469583541 4002.5185191593264 4079.171335353624 4059.5440137124724 4049.0350999520056 4294.989371411867 3894.306434041389 3904.6466503838974 4077.055193848282 4246.126437712653 4000.7942776173118 3879.377719826717 3893.423103869205 3965.8482587409326 4091.8087096799563 4183.0140701102155 3972.108031894308 3897.67902186111 4087.0810005740022 4828.623923132998 3988.8546596463057 4115.549247009518 4022.0997597485075 4054.8994370262217 2076.556664042624
mobilenetv1.tflite,2,13.8067,4363.307392642355 3971.141563192018 4514.44288769963 4111.22719145165 3868.8822601544935 4080.5936089169622 4113.027524083087 3801.5675395576272 3952.2474558906147 3875.9515965834125 4060.9100279910067 4136.593714593616 4191.749479724503 4062.9548910373323 4148.857033722163 3773.1907985259663 3947.829405705189 3925.3827376135096 3956.028460935683 4081.8494887252577 4149.903324881707 4086.6572682513174 3922.860845701595 3900.8007400481174 3926.487350743033 3972.9762865501025 4122.267479731412 3859.251536155489 4127.965371645757 3923.2158509214137 3873.9999162410227 3944.915168094799 3957.8591138577585 4162.059120871581 4401.644874118407 3963.1258847162926 3950.104146537467 3926.306795358127
mobilenetv1.tflite,3,15.5925,3677.2907424211703 3913.572392916614 3902.1723527892864 3991.9386363550143 3889.7009300081545 3921.20919023005 3937.6778316101727 4055.9324933633375 3937.3489382562566 3857.964357516089 3995.7985029492265 3963.129665576878 3836.567077456862 3935.1339143384907 3870.0428349138383 4080.192112380684 3973.178761660296 4012.9031236330334 3942.197926004336 3785.218469767907 3802.025381246157 3845.388823020332 3930.551962623798 3774.0722211327475 3957.9957315239744 3994.6150118232367 3953.1317739001056 3998.0315020382513 4135.829074535617 3876.383936328734 3816.6013197345146 3955.7939082919406 3934.8235702160428 3864.6575445191424 3855.168605419739 3796.615104243368 3957.0218793858357 4248.871752836923 3940.64111752819 4054.4855653915442 4014.221200510168 3942.148574714025 3966.7052612456646
mobilenetv1.tflite,4,15.6544,3423.5775293101956 3673.1883025987313 3738.2930598508506 3666.8237339532566 3764.810838283765 4044.112343910154 3861.9260551297575 3880.965121713548 3663.558274834297 3720.9359398431084 3859.283159337775 3745.6067647268383 3698.8798428685313 3792.08856205807 3779.419954086881 3874.455664416104 3961.924626321597 3790.4784372903487 3898.411298432788 3703.1487205819944 3742.282457839291 3778.9255927679533 3917.0877415096816 3842.650805665727 3780.400845749516 3690.287882663526 3925.8496097897287 3847.6142494883948 3840.9668553921106 3776.422664064436 3824.0548365637196 3630.6266555801744 3739.610656149535 3837.842715261877 3802.151910547076 3807.898125411596 3732.6620339353904 3819.5710907694074 4232.2382625503415 3797.2239291777832 3817.057840054385 3756.3780935546893 3727.4259391489772
mobilenetv1.tflite,5,16.0015,4050.833604603724 3798.8517310112093 3931.649265762538 3809.097883710458 3817.138636162005 3861.3293992672934 3856.8498372712 3886.7797638609804 4102.568128463857 3869.4464527557157 3866.8765945287114 3962.63607018239 3906.9548232557127 3910.9878154260114 3933.52291363883 3877.0406871423843 3823.454622870915 3926.1736397697696 3863.15863116317 3869.1337325219365 3869.8343654593814 3886.4279084971945 3962.7155137860987 3814.0034689817385 3906.5186816771397 3891.771093800586 3866.8517774379793 3911.5681508261887 3844.642852577474 3713.0433096858624 4125.508836853969 3906.8166313333854 3901.246845746846 3894.1621882960108 3910.350231089069 3805.0536917605564 3784.231961046096 3962.4925470956296 3971.370353838868 3953.855173712347 3815.923479716725 3815.8105165773654 3913.156146329909 3808.205867677851
mobilenetv1.tflite,6,16.1786,3816.943161053894 3762.9297822639537 3839.8100024625114 3863.8432632490326 3393.8264408263117 3984.029113665456 3825.351516901322 3889.8798496816526 3895.626144782796 3765.579848121447 3791.8414453657256 3868.093249389325 3948.141481032142 4030.2415037612413 3758.4530380199667 3764.6454238125525 3978.3149950946754 3972.4942901350414 4001.5688050109648 5200.075866308555 3917.0654048115284 3857.467526151252 3890.083578924659 3870.281910313327 3794.743664102919 3922.440866808913 3871.477131175458 3996.0982194693347 3807.9351818399955 3875.5210448815205 3891.911602828869 3961.302073434913 3878.4236665196104 3774.9114437560374 3796.524554513763 3763.088855981094 3824.425554931161 3940.4999805406023 3854.759501479218 3772.697301387014 3920.4090395216817 3836.680454447869 3852.3178425537903 3913.32557080667
mobilenetv1.tflite,7,17.4371,3746.6981796744344 3820.369304803423 3862.9492201777443 3837.9649076495266 3883.6194750819755 3790.8568390555997 3957.950335600039 3606.2498396426076 3829.3635738528105 3814.470763588398 3764.046401829778 3855.2081182508573 3724.4408133660922 3555.2398213610463 3216.069608628001 3148.76132491531 3827.2196433858785 3525.7092903053713 3652.2696496936387 3894.469003843519 3318.1857174638 3364.2968995064434 3760.185405586123 3784.3617848666872 3585.341281699654 3813.409814014462 3574.3021897965 3761.231531532214 3734.4162285635075 3801.3186886501885 3829.784522880782 3813.057640259488 3857.8096150401534 3761.6202713371504 3514.5042150654244 3712.935132651649 3549.913428449207 3758.641312753301 3412.627659205252 3654.6891300867815 3401.3105603631175 3488.0507429508502 3885.0575650738238 3572.9943110305826 3836.9172886068773 3814.067540067344 3716.19003557005 3786.2362623552153
mobilenetv1.tflite,8,16.2174,3694.855492926984 4227.796078485064 3505.89612771697 3913.441909084011 3863.5475522571787 4541.397411233359 4061.0735466679967 4067.728892583326 3768.403888720591 3934.755290451625 3715.801613682194 3822.578820961698 3997.366422753559 4014.8105911362945 3798.1019474716227 3901.042495576637 3936.308813522039 3918.204213147569 3800.4624724013315 3791.7781652347408 3865.717512535155 3953.1924431721104 3820.87319358808 3931.5739460275468 3819.8355305856285 3787.5829936499013 3686.7975206604738 3706.7791551543287 3864.9329420006916 3900.833324878332 3862.318051365942 3896.7718795694145 3934.20163055014 3749.927098811053 3952.6264527654903 3912.4482999280112 3742.886282886857 3791.2238193056974 4024.119291455712 3818.244632369302 3840.971081524642 3845.8983520672396 3897.975709116556 3816.7522537447153 1895.1064653486123
mobilenetv1.tflite,9,17.8943,3621.334532986402 3627.183939683418 3836.17598011948 3812.267455088649 3607.3400219470864 3634.765254708017 3792.7437902749393 4968.516484279351 3631.9104878816097 3951.4254528745914 3686.1750626743355 3613.005194724058 3551.7859768785584 3678.383380431216 3537.874949362339 3711.2450461427193 3747.0658316007807 3735.742249795296 3683.1254192312936 3698.0259772417835 4310.02231353507 3709.249870035716 3764.1765524057455 3719.9203576945797 3826.5723005378077 3608.70476529518 3763.9316196619775 3674.2328086697066 3697.491319724404 3566.200965293871 3669.436374292402 3680.8960923465843 3612.511493408694 3683.423868744902 3536.839182750677 3743.6950075303785 3918.5857494852867 3718.527075690492 3623.1466923504213 3660.8445906342126 3759.0799509113117 3720.0870088255288 3534.2794660701024 3782.885018957582 3807.5631763629212 3621.5118741413735 3665.5958193594765 3794.8791308716013 4395.428710230619
