model,node,cpu_freq,gpu_freq,inference_time,power
mobilenetv1.tflite,0,844800,315000000,7.11619,5349.609180678214 5218.537657534029 5236.873815028073 5269.160013465407 5435.9245520635095 5287.282832906623 5309.041024997468 5225.841816885561 6035.095772332951 5349.735080362769 5296.378577924658 5341.14375363361 5404.486008843339 5312.712566962289 5343.196348350118 5724.708798793885 5322.192801421177 5343.086332926087 5552.889404300415 4926.651730279299
mobilenetv1.tflite,1,844800,315000000,9.58663,4888.68474452217 4626.1644836783325 4863.0943778713145 4833.997043388073 4448.025279089587 4459.4714974753515 4813.991887801886 4627.165760823539 4457.099857180356 4567.668462000829 4539.772569540296 4767.579838786564 4803.358971723368 4458.615947068044 4557.4212708238565 5098.30658646424 4720.432367365078 4789.780699622401 5887.821506800387 5090.092582640861 4960.216401412439 4945.233025212851 4974.140920911926 4910.888298519042 4888.630284239372 4893.108489061554 2899.2066525289224
mobilenetv1.tflite,2,844800,315000000,11.7614,4339.623649279435 4353.875177269524 4483.352245398515 4551.572031403194 4529.561759311757 4433.515172225774 4482.332582538094 4550.252241946141 4677.649397972978 4736.470776396063 4520.33366114421 4600.004555516837 4518.516851142025 4517.061542592214 4690.512821820106 4539.0740500878255 4734.09418542279 4471.817776920673 4613.308841206354 4691.759348215024 4575.916284463113 4402.27233768053 5782.817803854879 4718.100904020753 4643.340783699834 4450.010203522361 4785.269600077126 4732.840364227099 4563.92551433443 4473.445172361427 4709.140739808969 4505.649723831985 2317.4945706606786
mobilenetv1.tflite,3,844800,315000000,12.6806,4618.427140902143 3941.079561376744 4892.219887249176 4418.423098253508 4678.639406740734 4870.59044005699 4495.879621106111 4824.273945735529 4827.733601617147 4885.4273193568915 4835.95764843381 4563.9615197838075 4526.570662508772 4989.800883638924 4658.370925591529 4555.59310570812 4656.594046890307 4875.219061501658 4506.23406629658 4623.205653233792 4951.025568510866 5004.324543890003 4858.015676161242 4716.891102413139 4543.087161796334 4674.350367052344 4463.592171511795 5050.947621741592 5013.614438025149 4440.533919451216 4646.191340941948 4908.777400404048 4926.868480199674 4481.397323235285 4301.69721503296
mobilenetv1.tflite,4,844800,315000000,11.8583,4701.612915135364 4733.380458340738 4901.700734685446 4770.235863724081 4700.104926823555 4942.379161804156 4886.118372434181 4820.245164240948 4900.934806388708 4977.555767411795 4825.634552422724 4908.528601276369 4873.460621935469 4945.004271311802 5182.880668625048 5672.657669995306 4971.893227729497 4932.777468427408 4895.2729184868795 5036.799157536081 4717.496624787403 4789.863954445938 4814.178603328436 4883.492446563579 4914.562549624427 5121.687776628047 4741.567548338361 4997.014167045825 4846.919595960006 4866.968870969995 4938.576913640142 4927.703415517101 3782.1064142398227
mobilenetv1.tflite,5,844800,315000000,12.6961,4881.345140571078 4826.506617543664 4871.078381811368 5268.7820459109025 4989.503966033882 4863.297926344682 4814.0817997289905 5039.687671204082 4978.798538385588 5162.244288413176 5016.3150694193055 5276.799062430748 4732.4833205103 5039.499874023696 4961.433931672639 5105.925643801828 5086.682275575933 5304.18953786797 5060.6516294008325 5016.770963093064 4746.82152266774 4792.884221197353 5182.604037813635 5185.180053732452 5189.64496224109 4843.503732711269 4797.935527758582 5111.880005621143 4794.140200434642 4918.167753355781 5015.790421283731 5052.169097431191 4858.906589526565 4776.746698947544 4896.08514747947
mobilenetv1.tflite,6,844800,315000000,12.7431,4817.215962929509 4939.30228496238 4688.017662611593 4779.293018174077 4848.633181257306 4835.570313620407 4790.369328152886 4906.260786860872 4999.405802678147 5124.921003835589 4852.594960980709 4964.565272238367 5261.073855283008 4983.973908345577 4788.931116258074 5165.608086452429 4814.876335989056 4936.930976215871 4783.0370583748045 4767.135692024854 5071.8623554423075 5053.916936901106 5453.8730142279055 5220.421160609581 5245.629119205412 4861.143035683699 4824.207054508859 5020.014761780979 5013.435699658282 4792.765487051132 5203.85939803555 5295.059724080894 5102.788625269714 4946.598741713389 5215.479503965034
mobilenetv1.tflite,7,844800,315000000,13.8553,4889.564104865592 4823.269426060564 4924.45236889847 5064.270908690407 4843.528291005548 4893.521874371073 4815.213947014167 4964.005914752975 4841.399982803018 4902.179852493845 4954.392939064045 4956.860806833843 5078.243339255088 4904.14624952697 4856.519793662853 4818.531420255744 4967.361429351567 4903.43000326335 4911.306242404062 4791.088260905582 4905.143450827246 4984.26456889383 4944.081151931984 5054.616243004387 4915.85251806844 4898.616467314351 4934.325297582083 4953.115884432425 4924.831159069914 4911.957926493411 4944.198254193199 4931.552195501292 4888.12466059683 5103.17869748301 4942.620032298149 4832.147013105561 4912.857626999317 4976.560956321147
mobilenetv1.tflite,8,844800,315000000,13.9573,4841.4505967422665 4767.068433300616 4807.198160246725 4797.273401944078 4867.673910374037 4732.884245965561 4742.84407646897 4985.429656305693 4803.110935255154 4844.7153831920705 4898.2293188618605 4788.600291480526 4890.5272983207915 4948.637604510364 4963.30361193671 4999.756848102552 4974.788142418823 4992.750144939841 4812.006643464065 4944.552246081855 4854.89500702764 4937.7924801332565 4865.11411270292 5024.8773748893755 4853.471919895249 4860.735098021894 4840.790045015987 4884.012678609667 4942.321943438686 4926.511962265407 4869.885493256776 4999.667051443051 5003.938049483483 5125.911463313656 4969.600201165633 4978.153823263923 5025.172750508172 5185.374495226898
mobilenetv1.tflite,9,844800,315000000,15.6032,4812.551385531191 4894.346155135872 4746.31682861276 4967.750333041647 4621.685866529186 4621.16609467624 4698.519340212405 4675.1946073004565 4778.308724707024 4667.666920153574 4644.409072246533 4694.9895698594555 4548.597498243795 4555.2621775107955 4622.392442184177 4587.082023957562 4926.968589722131 4735.686594404075 4672.924861157679 4658.349839450821 4639.581228088042 4708.70283495033 4576.035577622671 4724.075758179116 4753.213658146574 4743.27971642442 4639.352586423557 4759.552850518606 4673.287156160989 4950.448453332372 4924.6077813013535 4752.741631273021 4779.735085489785 4685.007990284612 4656.522761337242 4681.444680914588 4698.547894387715 4784.277452636417 4650.608774904661 4729.80383530383 4607.121093642063 4691.7948533356885 4410.872503855708
