model,gpu_freq,inference_time,power
EfficientNet.tflite,315000000,21.2653,2048.24985138378 1814.183428385861 2437.9071868886112 1921.5075564563356 1774.3928052592657 2025.440439514863
EfficientNet.tflite,379000000,13.9164,2567.747740567411 2367.3062393228665 2563.654301858824 2355.548675244784
EfficientNet.tflite,443000000,12.035,2687.2152374193456 2685.2323613427907 2785.093959606287 1679.9210339170127
EfficientNet.tflite,491000000,11.2167,2742.067238767318 2642.52185148829 2777.306820630915 1102.7897384541468
EfficientNet.tflite,540000000,10.7317,2945.3932446259773 2754.5059460292814 2928.6342572167555
EfficientNet.tflite,608000000,10.1714,3141.5674014169413 3027.888649945478 3132.320882464862
EfficientNet.tflite,676000000,8.45601,4348.773625778697 4189.779320852085 1444.733265842296
EfficientNet.tflite,738000000,7.98122,4864.295261102655 4652.1877269124125 1331.37275479112
EfficientNet.tflite,778000000,7.70161,5175.747595697376 5255.31269364559 1506.099275463388
EfficientNet.tflite,840000000,7.4143,5489.485535569542 5537.074559310359 1268.1537711447434
Squeezenet.tflite,315000000,27.4025,2071.6054803477273 2006.302796334284 1785.1791435549687 1792.5745602987547 2062.117801543842 1897.4584011125512 1977.073106177487 2799.577289750663
Squeezenet.tflite,379000000,19.1868,2582.654612381109 2331.1449734096104 2526.6168401886075 2322.305567542462 2333.1915620528325 1559.140593090671
Squeezenet.tflite,443000000,16.4585,2632.5558483378486 2499.3892901652143 2671.950824239402 2582.183165190434 2480.5962254237584
Squeezenet.tflite,491000000,15.4819,2725.3075043464796 2578.1183876921896 2778.981222817079 2614.2235373391445 1468.9820220222737
Squeezenet.tflite,540000000,14.5638,2761.1688291853666 2698.8699448086 2758.8555544287638 2751.50686272513 1261.299920423985
Squeezenet.tflite,608000000,13.583,3237.858963943614 3224.504858769675 3252.5616997060856 3051.3859425889964
Squeezenet.tflite,676000000,11.555,4133.289526692756 4042.5972185268083 4163.611733600178 1689.1264897154188
Squeezenet.tflite,738000000,10.7391,4658.898395868939 4504.727990156041 4677.826757095707 1133.2765965816402
Squeezenet.tflite,778000000,10.4792,5048.298976625207 4878.584862339933 4926.570108028415
Squeezenet.tflite,840000000,9.88089,5705.803599861214 5602.720726579726 4598.279685723735
densenet.tflite,315000000,193.753,1778.4285992300508 1631.3237860597924 1594.1471592949244 1608.8314241171438 1618.639286840948 1616.4298735680393 1811.230154892649 1776.7557449545832 1628.0492822655788 2040.546655890958 1670.3970724694948 1731.2010300639374 1831.1131060145185 1612.9649371850926 1708.9645346124832 1666.897581116046 2674.330917479676 2377.187673101465 1614.1574206162768 1845.6471119466553 1609.9301220464365 1620.256168551832 1615.729626579335 1646.0324692074284 1605.7124187969778 1841.413940660589 1906.1118350767106 1617.010412312688 1826.5306706470224 1621.8397560727667 1669.0015258655653 1644.8795286409268 1608.0150870454786 1584.5718108014155 1600.8906519482966 1639.013807507495 1591.6127192629515 1621.3686743265134 1659.021790508631 2063.1761267324273 1587.3659208844545 2229.3696282152814 1664.320918384503 1727.8022467705985 1749.8200217942926 1641.4842882440414 1613.4945889250341 1734.6204683246299 1607.2085339022826 1604.3485645826195 1928.2302502558196 1794.98145963471 1598.1015563686756
densenet.tflite,379000000,137.437,2024.1206481061379 2224.6819515439306 1879.8387810730835 1954.3206994877671 2057.5023043152496 1884.3840789061733 2141.643374458632 2073.594793252368 1932.0890727859926 2290.0664741275623 2087.7112984689215 2162.0972599415995 1986.7112101285113 2354.0528487185634 2245.2467592290686 1934.9776752201783 2126.791306308815 1959.7199217752532 2276.1786991078093 2433.994528389717 2175.3594798701206 1900.3270791722691 2061.955860356167 2339.900293753393 1910.392507782861 2066.1357295967064 1941.2615726204215 1983.6939554264716 2053.9898767749596 1926.9452766789286 1942.9449278276006 2185.539782418147 1876.8922588820976 1981.0387643794784 2040.3662124453633 1999.5608311661513 1989.668396242917 1980.1305344572013
densenet.tflite,443000000,121.836,2071.455922162892 2017.955625312144 2202.448128920916 1969.6051129524535 2008.6901556596283 2061.42687497838 2038.2137513277703 2031.2747107554674 2095.73274105761 2060.76715156974 2026.9040933533959 2018.7588450153708 2019.2621502451302 2188.438612867004 2755.1324370094803 2144.227261277734 2055.40345789988 2098.667686339824 2048.6070983757427 2029.55752804576 2056.9600118770636 2063.7996742649007 2242.59666482317 2094.1314322342087 2081.266196540176 2262.4161983310937 2037.3852486820756 2162.29240394815 2054.6796586176824 2699.3441060281175 2756.64044368697 2302.070693718141 2333.085804699326 1303.625797368429
