model,cpu_freq,inference_time
EfficientNet.tflite,825600,47.7166
EfficientNet.tflite,902400,43.4869
EfficientNet.tflite,979200,40.3247
EfficientNet.tflite,1056000,37.4373
EfficientNet.tflite,1209600,32.597
EfficientNet.tflite,1286400,30.9247
EfficientNet.tflite,1363200,29.5243
EfficientNet.tflite,1459200,27.5411
EfficientNet.tflite,1536000,26.281
EfficientNet.tflite,1612800,25.885
EfficientNet.tflite,1689600,24.4963
EfficientNet.tflite,1766400,23.5729
EfficientNet.tflite,1843200,23.9165
EfficientNet.tflite,1920000,22.8072
EfficientNet.tflite,1996800,22.2738
EfficientNet.tflite,2092800,21.7373
EfficientNet.tflite,2169600,21.4465
EfficientNet.tflite,2246400,22.5396
EfficientNet.tflite,2323200,22.4763
EfficientNet.tflite,2400000,21.4571
EfficientNet.tflite,2476800,22.6598
EfficientNet.tflite,2553600,22.0458
EfficientNet.tflite,2649600,22.5353
Squeezenet.tflite,825600,83.2499
Squeezenet.tflite,902400,75.7222
Squeezenet.tflite,979200,70.2901
Squeezenet.tflite,1056000,64.7056
Squeezenet.tflite,1209600,56.9007
Squeezenet.tflite,1286400,53.177
Squeezenet.tflite,1363200,50.9274
Squeezenet.tflite,1459200,47.496
Squeezenet.tflite,1536000,45.1547
Squeezenet.tflite,1612800,43.2138
Squeezenet.tflite,1689600,41.1416
Squeezenet.tflite,1766400,39.1752
Squeezenet.tflite,1843200,38.0304
Squeezenet.tflite,1920000,36.5204
Squeezenet.tflite,1996800,35.2045
Squeezenet.tflite,2092800,35.2453
Squeezenet.tflite,2169600,35.3948
Squeezenet.tflite,2246400,35.2077
Squeezenet.tflite,2323200,35.2309
Squeezenet.tflite,2400000,35.2045
Squeezenet.tflite,2476800,35.2063
Squeezenet.tflite,2553600,35.4147
Squeezenet.tflite,2649600,38.1523
densenet.tflite,825600,288.412
densenet.tflite,902400,260.027
densenet.tflite,979200,241.731
densenet.tflite,1056000,225.789
densenet.tflite,1209600,195.987
densenet.tflite,1286400,186.158
densenet.tflite,1363200,175.484
densenet.tflite,1459200,163.288
densenet.tflite,1536000,155.944
densenet.tflite,1612800,149.974
densenet.tflite,1689600,143.656
densenet.tflite,1766400,143.718
densenet.tflite,1843200,141.874
densenet.tflite,1920000,144.283
densenet.tflite,1996800,170.229
densenet.tflite,2092800,176.41
densenet.tflite,2169600,176.773
densenet.tflite,2246400,176.678
densenet.tflite,2323200,174.956
densenet.tflite,2400000,177.019
densenet.tflite,2476800,176.821
densenet.tflite,2553600,176.928
densenet.tflite,2649600,177.046
inception_v1.tflite,825600,142.839
inception_v1.tflite,902400,131.462
inception_v1.tflite,979200,122.904
inception_v1.tflite,1056000,114.027
inception_v1.tflite,1209600,100.783
inception_v1.tflite,1286400,94.2919
