model,gpu_freq,inference_time
EfficientNet.tflite,257000000,24.6653
EfficientNet.tflite,342000000,19.7037
EfficientNet.tflite,414000000,15.7605
EfficientNet.tflite,520000000,14.9346
EfficientNet.tflite,596000000,12.0929
EfficientNet.tflite,675000000,11.2115
EfficientNet.tflite,710000000,11.3502
Squeezenet.tflite,257000000,36.2991
Squeezenet.tflite,342000000,28.2594
Squeezenet.tflite,414000000,25.2541
Squeezenet.tflite,520000000,21.3815
Squeezenet.tflite,596000000,19.8805
Squeezenet.tflite,675000000,16.7294
Squeezenet.tflite,710000000,20.4074
densenet.tflite,257000000,197.722
densenet.tflite,342000000,157.966
densenet.tflite,414000000,136.839
densenet.tflite,520000000,118.123
densenet.tflite,596000000,106.93
densenet.tflite,675000000,103.245
densenet.tflite,710000000,104.108
inception_v1.tflite,257000000,66.0686
inception_v1.tflite,342000000,51.9663
inception_v1.tflite,414000000,44.4404
inception_v1.tflite,520000000,37.6201
inception_v1.tflite,596000000,34.2675
inception_v1.tflite,675000000,31.5249
inception_v1.tflite,710000000,31.5367
inception_v2.tflite,257000000,93.8769
inception_v2.tflite,342000000,74.9071
inception_v2.tflite,414000000,63.1579
inception_v2.tflite,520000000,54.0109
inception_v2.tflite,596000000,49.8088
inception_v2.tflite,675000000,52.9647
inception_v2.tflite,710000000,51.8229
inception_v3.tflite,257000000,222.404
inception_v3.tflite,342000000,171.932
inception_v3.tflite,414000000,143.321
inception_v3.tflite,520000000,131.946
inception_v3.tflite,596000000,129.177
inception_v3.tflite,675000000,131.692
inception_v3.tflite,710000000,123.887
inception_v4.tflite,257000000,459.63
inception_v4.tflite,342000000,351.552
inception_v4.tflite,414000000,296.016
inception_v4.tflite,520000000,264.132
inception_v4.tflite,596000000,269.285
inception_v4.tflite,675000000,267.79
inception_v4.tflite,710000000,271.007
mnasnet.tflite,257000000,9.68172
mnasnet.tflite,342000000,7.70188
mnasnet.tflite,414000000,6.60686
mnasnet.tflite,520000000,5.62506
mnasnet.tflite,596000000,5.41472
mnasnet.tflite,675000000,5.05874
mnasnet.tflite,710000000,4.78328
mobilenet_v3.tflite,257000000,7.24164
mobilenet_v3.tflite,342000000,6.08372
mobilenet_v3.tflite,414000000,5.33134
mobilenet_v3.tflite,520000000,4.37612
mobilenet_v3.tflite,596000000,4.24472
mobilenet_v3.tflite,675000000,4.0785
mobilenet_v3.tflite,710000000,3.70048
mobilenetv2.tflite,257000000,19.9114
mobilenetv2.tflite,342000000,16.3511
mobilenetv2.tflite,414000000,12.8608
mobilenetv2.tflite,520000000,10.821
mobilenetv2.tflite,596000000,10.0263
mobilenetv2.tflite,675000000,9.43812
mobilenetv2.tflite,710000000,9.33174
nasnet.tflite,257000000,55.0174
nasnet.tflite,342000000,42.8802
nasnet.tflite,414000000,36.8243
nasnet.tflite,520000000,30.9552
nasnet.tflite,596000000,28.4253
nasnet.tflite,675000000,27.6801
nasnet.tflite,710000000,28.2191
resnet_v2.tflite,257000000,456.495
resnet_v2.tflite,342000000,353.123
resnet_v2.tflite,414000000,301.921
resnet_v2.tflite,520000000,248.56
resnet_v2.tflite,596000000,223.175
resnet_v2.tflite,675000000,201.96
resnet_v2.tflite,710000000,197.342
yamnet.tflite,257000000,13.2426
yamnet.tflite,342000000,12.2224
yamnet.tflite,414000000,9.58242
yamnet.tflite,520000000,8.6538
yamnet.tflite,596000000,8.47456
yamnet.tflite,675000000,8.26622
yamnet.tflite,710000000,7.99102
yolov5.tflite,257000000,89.9954
yolov5.tflite,342000000,71.7504
yolov5.tflite,414000000,61.9362
yolov5.tflite,520000000,52.0997
yolov5.tflite,596000000,47.8101
yolov5.tflite,675000000,53.0831
yolov5.tflite,710000000,50.7324
