model,node,inference_time,power
mobilenetv1.tflite,0,9.49176,5704.707744703528 4971.106848890381 4361.774693532872 4374.866458342914 4239.881124002279 4397.529332154055 4466.318030313304 4424.1526281163115 4508.864911541734 4347.684185097008 4370.205089466284 4205.764098743122 4428.596226504266 4351.589436175039 4473.117887738953 4172.2972587385375 4146.217216811942 4312.3900068278335 4230.972178652091 4149.102768870543 4210.305876511487 4312.527962223343 4344.623800041984 4310.4032521855615 4640.306105762646 4524.871964932383 1075.0658787546254 1087.415136086417 1108.3784427796663
mobilenetv1.tflite,1,13.3146,4164.367034318407 3870.8337001221876 4073.172152025045 3814.4480833703396 3737.117215166433 3632.6404047757237 4128.168802131155 3972.2034961304516 3635.191836575601 3877.302075224917 4034.483873276738 3937.849636047422 4081.1216245274322 4168.955246666712 4516.802210550456 4393.510082549632 4134.986820774223 4212.384862956024 4236.853680671124 3948.1364429160526 4023.539033116399 4337.1104152886965 4224.756434020806 4226.5617618117885 4298.551530865341 4081.291103462901 4124.947115641943 4224.85846554068 4120.409632135402 4130.059596821551 4089.003547476597 4051.740178590889 4153.2993692861855 4315.720154213306 4011.1069924179737 4238.082863038295 1537.5879131276913
mobilenetv1.tflite,2,13.3441,3878.8697610782074 3837.7136231964455 3755.9316937921053 4019.033752548025 4184.611001188999 3962.8514605559835 3861.7947224364984 4030.338166702489 4071.6877083249437 4018.103588759708 4131.629921341916 8970.117667456405 8118.553892950813 7300.005065011295 3891.1701925860334 4120.206744041014 4215.869327098846 4059.359637541104 4062.1820786989156 4076.5209672781702 4597.032175881254 4196.715250123942 4348.750596240203 4161.1581498513015 4117.507387476254 4260.028545643531 4238.609270455575 3938.7412040975055 4162.443867466541 4051.8967135147936 4303.28568958149 4348.853448594085 3949.571095285883 4071.497064754703 4097.043737837755 3889.910709563047 2315.111276535095
mobilenetv1.tflite,3,15.5603,3823.5892080896465 3878.040561346924 4286.114875435733 3833.1010203525293 4001.7159757245604 4022.4379450795905 4124.777427687109 3887.3313548828824 3932.801042905369 4163.451389125023 4199.443128097369 4007.6229047794523 4087.9129347793487 4065.1274217084047 4009.5849824307975 3805.8853006552285 4075.332539910633 4059.746985657373 3954.760704519036 4029.0033528680297 4075.6280484495423 4085.5000655655535 4023.4117373160157 3939.3255669001555 4061.3466627296043 3931.526720197632 4130.451423258745 4210.646784437486 3961.1187355142165 4028.235808162741 3936.1615239879084 4064.9318094054074 4107.179843294924 3998.2370712283773 4076.5164958560636 4316.2522578655935 4099.904323101079 4173.932845652353 4075.2555916676833 4160.0182374724745 4115.181749584247 4015.6885474571022
mobilenetv1.tflite,4,15.6351,3894.110732390074 3658.2646371343308 3589.173127622865 3579.6875576960006 3684.9561068717235 3831.2732227294596 3812.695733683458 3862.5050069933895 3853.4136399674253 3857.506078810655 3751.8444616651027 4116.821389297729 3862.016396141879 3807.380341008495 3905.086559008812 3783.9705923785737 3854.400585661236 3863.8396145016263 3796.7803458739118 3902.214222986842 3876.1879693445617 3734.703729757481 4061.4259029274604 4581.021237581104 4046.3127692777534 3887.8995710433223 4538.136039527031 3916.929818441538 3928.6645104096146 3886.8986215315745 3804.021711935617 3816.506583345549 3932.3094926059102 4132.539674784999 3848.7201035850694 3902.2817346844195 3874.1507553328547 3745.912952240146 3941.3296652900685 3923.437443134798 3747.713402530477 3966.6994116184464 3032.4302422516416
mobilenetv1.tflite,5,15.9214,3800.124681108983 3817.8918984466914 3773.3595475773127 5074.162343610927 3959.9827960177186 3871.3466126543303 4107.192749723041 3950.489959081402 3829.5204784191915 3941.657405959524 3939.235280696954 3999.2776731467034 4002.0243609011027 3856.5028442611483 3969.5587459132166 3982.708816554101 4080.105335673664 4048.120097875165 3873.876293315729 3888.320280980164 3822.5534795919025 3980.3575995577507 4025.9744898330573 4019.995606328701 3890.164701917235 4193.849889993734 3990.7389603707993 4050.5761571943167 4026.829035920854 3896.028935141878 3983.263650050848 3867.7883869742427 3968.9783683346745 3966.761232538109 3848.508004298221 4538.678446632812 4004.6783256575973 4204.115196613915 3973.7906630730777 4038.8082748526517 3941.040118640403 4101.65708207748 3961.5499990952194 2101.669638589277
mobilenetv1.tflite,6,16.2579,3897.824634142275 3969.001596170888 3748.1736969713706 3832.743205477115 3901.5367788108015 5017.736585069759 3893.662923045648 3893.8751700428325 3953.2651645293267 3849.8591397725445 3905.9858408707655 3949.404616001511 3964.4373737975156 3878.4858748693437 3910.3290422345563 3903.9733282671923 3810.8189140664676 3969.810894823416 3881.245510599998 3996.4120272578252 4003.110976474859 4025.547454133084 3930.580051076462 3945.7946777496118 3953.504101213699 4019.7828831573875 3929.035618796402 3898.9708751333355 3730.2933665030514 4119.773504336051 3990.5778624891345 3978.4223992428283 3884.82204775452 4033.897317802394 3878.578064297083 3943.0707221380817 3913.2391041864585 3922.360515994112 3847.7016637936276 3848.2094570644163 3936.613139092543 3999.5610281517984 4011.0927059780824 3730.3449006993405 1411.7797118398814
mobilenetv1.tflite,7,17.0334,3801.296715935224 3746.5949763846197 3845.494906033531 3946.076581113349 3763.1053063719555 3852.7926234867905 3790.450524195756 3777.8491697369427 3876.4520466976705 3860.4295454052494 4077.0166200088784 3824.3976932702712 3818.6908487231344 3894.659998995926 3856.3897730863728 3780.980442079034 4025.5672016685094 3971.041757580809 3841.9390053119623 3816.543298939586 3840.6547946256555 3930.4384143079365 3765.6341158208943 3872.4054462591857 3764.9473197133607 3869.843754020041 3881.161491697661 3983.0524825255884 3861.6592451913884 3976.3629970401994 3890.9668086694505 3869.3928770095667 3913.1364102395946 3809.496179126579 3868.113975185113 3910.823046952746 3825.5211922932954 3898.2789121899373 3948.509172112164 3934.0583773730236 3826.0292615374765 4009.3972876245634 3800.020862362815 4270.444836384894 3780.5867989191083 4219.443516986142 1959.0007729102506
mobilenetv1.tflite,8,16.2321,3745.0358312348635 4862.375443303062 3787.657278635776 3781.3421432468253 3892.3864066336528 4028.3066854901376 4321.719619300037 3970.0304947945156 3852.6211994176574 3861.6890666286986 3994.9806185962466 3827.988704977835 3814.5698264907883 4005.8312634296594 3952.655289808738 3900.5820567703727 3872.4609525803066 4005.8038988618864 4224.090494332642 4090.2248381816244 3833.8431966083417 3919.5704894055975 3832.9141196194573 3993.7679689750494 3887.0230444499907 3884.3728981754384 3916.354026454933 4002.8076017210583 3953.7012760935154 3831.665074599597 4140.825151797661 4013.9177981515013 3792.430357504038 3874.0968106633677 3914.2710287482946 3831.4442298374306 3872.5084009599436 4041.8859792133035 3794.1490570878177 3831.995169707465 3896.3036594215882 4031.5115328649076 3958.741538409798 3813.0256694605314 1308.8694273082504
mobilenetv1.tflite,9,17.9733,3605.439838673941 3999.2756946244313 3745.9095901525707 3914.9706007858103 3659.3925623618816 3706.007021576301 3666.724909301288 4039.4230510657853 3598.9629824177946 3718.07952115692 3750.878354303101 3675.691158790294 3797.9828480180513 3661.3103306107123 3707.3815155130246 3617.760851295576 3803.393575581454 3686.175427856029 3636.990221110305 3764.0525839296374 3775.671427594742 3667.7268234019148 3572.764985679755 3708.9427511855843 4029.0454843908547 4112.461770103795 3754.491049282723 3736.7850243759844 3664.6500471212976 3725.976815009081 3620.1821461572895 3569.13446503446 3774.58608717778 3823.4203861743413 3604.993240100779 4493.139646199273 3712.2266757485736 3678.7459777982526 3717.6644906019974 3720.221154686397 3705.035657277382 3801.658915403951 3735.849148872614 3698.9221042169506 3610.7028474657864 3804.9671844887807 4002.0255358694703 3902.04894147079 3518.892762821184
